sol,month,min_temp,max_temp,pressure,atmo_opacity
1466,Month 8,-67,-6,873,Sunny
1465,Month 8,-68,-3,870,Sunny
1464,Month 8,-71,-6,871,Sunny
1463,Month 8,-68,-1,871,Sunny
1462,Month 8,-68,-5,871,Sunny
1461,Month 8,-69,-7,870,Sunny
1460,Month 8,-70,-4,865,Sunny
1459,Month 8,-71,-2,861,Sunny
1458,Month 8,-69,-1,859,Sunny
1457,Month 8,-69,-5,860,Sunny
1456,Month 8,-69,-1,859,Sunny
1455,Month 8,-70,-4,858,Sunny
1454,Month 8,-69,3,854,Sunny
1453,Month 8,-73,5,850,Sunny
1452,Month 8,-74,5,845,Sunny
1451,Month 8,-71,5,842,Sunny
1450,Month 8,-69,5,842,Sunny
1449,Month 8,-71,5,841,Sunny
1448,Month 8,-69,5,841,Sunny
1447,Month 8,-74,4,841,Sunny
1446,Month 8,-70,6,841,Sunny
1445,Month 8,-69,1,836,Sunny
1444,Month 8,-69,8,833,Sunny
1443,Month 8,-69,7,831,Sunny
1442,Month 8,-68,0,829,Sunny
1441,Month 8,-74,10,828,Sunny
1440,Month 7,-70,4,828,Sunny
1439,Month 7,-71,5,828,Sunny
1438,Month 7,-68,11,823,Sunny
1437,Month 7,-71,7,821,Sunny
1436,Month 7,-72,4,825,Sunny
1435,Month 7,-71,4,823,Sunny
1434,Month 7,-70,0,818,Sunny
1433,Month 7,-70,6,818,Sunny
1432,Month 7,-71,7,813,Sunny
1431,Month 7,-69,7,811,Sunny
1430,Month 7,-69,5,810,Sunny
1429,Month 7,-70,4,810,Sunny
1428,Month 7,-72,4,808,Sunny
1427,Month 7,-72,8,807,Sunny
1426,Month 7,-71,-6,803,Sunny
1425,Month 7,-72,-8,804,Sunny
1424,Month 7,-72,-8,803,Sunny
1423,Month 7,-71,-9,800,Sunny
1422,Month 7,-72,-9,798,Sunny
1421,Month 7,-72,-9,797,Sunny
1420,Month 7,-71,-8,793,Sunny
1419,Month 7,-73,-7,793,Sunny
1418,Month 7,-73,-9,793,Sunny
1417,Month 7,-70,-8,791,Sunny
1416,Month 7,-72,5,791,Sunny
1415,Month 7,-72,8,787,Sunny
1414,Month 7,-73,7,785,Sunny
1413,Month 7,-72,5,784,Sunny
1412,Month 7,-78,4,784,Sunny
1411,Month 7,-72,6,782,Sunny
1410,Month 7,-72,7,782,Sunny
1409,Month 7,-74,-9,781,Sunny
1408,Month 7,-75,-10,779,Sunny
1407,Month 7,-74,-9,779,Sunny
1406,Month 7,-76,-9,775,Sunny
1405,Month 7,-75,-2,775,Sunny
1404,Month 7,-75,-10,774,Sunny
1403,Month 7,-75,-9,771,Sunny
1402,Month 7,-75,-11,771,Sunny
1401,Month 7,-73,-4,770,Sunny
1400,Month 7,-73,3,770,Sunny
1399,Month 7,-73,1,770,Sunny
1398,Month 7,-66,3,751,Sunny
1388,Month 6,-73,4,756,Sunny
1387,Month 6,-74,2,755,Sunny
1386,Month 6,-74,-1,755,Sunny
1385,Month 6,-75,-3,755,Sunny
1384,Month 6,-74,2,753,Sunny
1383,Month 6,-73,3,752,Sunny
1382,Month 6,-76,-4,752,Sunny
1381,Month 6,-73,-8,751,Sunny
1380,Month 6,-74,-7,751,Sunny
1379,Month 6,-77,-7,751,Sunny
1378,Month 6,-76,1,751,Sunny
1377,Month 6,-76,1,749,Sunny
1376,Month 6,-75,0,749,Sunny
1375,Month 6,-73,-2,749,Sunny
1374,Month 6,-75,-5,748,Sunny
1373,Month 6,-74,-3,746,Sunny
1372,Month 6,-74,-4,745,Sunny
1371,Month 6,-75,-2,746,Sunny
1370,Month 6,-74,-1,744,Sunny
1369,Month 6,-73,1,742,Sunny
1368,Month 6,-74,-16,743,Sunny
1367,Month 6,-74,-14,743,Sunny
1366,Month 6,-75,-15,740,Sunny
1365,Month 6,-74,-15,739,Sunny
1364,Month 6,-74,-16,740,Sunny
1363,Month 6,-75,-14,740,Sunny
1362,Month 6,-74,-17,739,Sunny
1361,Month 6,-75,-16,739,Sunny
1360,Month 6,-76,-16,739,Sunny
1359,Month 6,-76,-13,739,Sunny
1358,Month 6,-74,-16,738,Sunny
1357,Month 6,-72,-16,738,Sunny
1356,Month 6,-74,-5,739,Sunny
1355,Month 6,-75,-11,740,Sunny
1354,Month 6,-75,-5,739,Sunny
1353,Month 6,-76,-6,737,Sunny
1352,Month 6,-73,-6,736,Sunny
1351,Month 6,-72,-12,739,Sunny
1350,Month 6,-73,-9,738,Sunny
1349,Month 6,-73,-9,737,Sunny
1348,Month 6,-76,-15,735,Sunny
1347,Month 6,-75,-16,736,Sunny
1346,Month 6,-75,-16,737,Sunny
1345,Month 6,-75,-19,735,Sunny
1344,Month 6,-75,-14,734,Sunny
1343,Month 6,-74,-8,735,Sunny
1342,Month 6,-80,-7,735,Sunny
1341,Month 6,-76,-9,735,Sunny
1340,Month 6,-76,-15,734,Sunny
1339,Month 6,-77,-18,733,Sunny
1338,Month 6,-75,-18,734,Sunny
1337,Month 6,-76,-13,734,Sunny
1336,Month 5,-75,-12,732,Sunny
1335,Month 5,-77,-10,732,Sunny
1334,Month 5,-77,-12,732,Sunny
1333,Month 5,-76,-18,733,Sunny
1332,Month 5,-78,-11,734,Sunny
1331,Month 5,-76,-19,734,Sunny
1330,Month 5,-78,-14,734,Sunny
1329,Month 5,-74,-15,735,Sunny
1328,Month 5,-77,-12,735,Sunny
1327,Month 5,-76,-11,736,Sunny
1326,Month 5,-77,-15,738,Sunny
1325,Month 5,-78,-14,738,Sunny
1324,Month 5,-78,-9,738,Sunny
1323,Month 5,-77,-11,738,Sunny
1322,Month 5,-78,-10,740,Sunny
1321,Month 5,-77,-15,740,Sunny
1320,Month 5,-77,-11,741,Sunny
1319,Month 5,-78,-8,742,Sunny
1318,Month 5,-80,-15,743,Sunny
1317,Month 5,-80,-15,743,Sunny
1316,Month 5,-80,-20,744,Sunny
1315,Month 5,-77,-14,744,Sunny
1314,Month 5,-78,-14,744,Sunny
1313,Month 5,-77,-14,745,Sunny
1312,Month 5,-77,-12,745,Sunny
1311,Month 5,-78,-11,745,Sunny
1310,Month 5,-76,-15,745,Sunny
1309,Month 5,-81,-19,747,Sunny
1308,Month 5,-81,-23,748,Sunny
1307,Month 5,-80,-27,748,Sunny
1306,Month 5,-79,-23,748,Sunny
1305,Month 5,-80,-21,749,Sunny
1304,Month 5,-80,-22,750,Sunny
1303,Month 5,-78,-26,751,Sunny
1302,Month 5,-80,-24,751,Sunny
